X,Y,Z,user
-0.050278,0.026336,9.974244,1
-0.043096,0.023942,9.974244,1
-0.047884,0.016759,9.979033,1
-0.031125,0.016759,9.962274,1
-0.04549,0.014365,9.986216,1
-0.038307,0.021548,9.986216,1
-0.050278,0.016759,9.97185,1
-0.047884,0.019154,9.983821,1
-0.052672,0.014365,9.986216,1
-0.04549,0.02873,9.986216,1
-0.035913,0.019154,9.979033,1
-0.040701,0.02873,9.986216,1
-0.055067,0.019154,9.976639,1
-0.031125,0.023942,9.993398,1
-0.050278,0.021548,9.974244,1
-0.047884,0.011971,9.988609,1
-0.050278,0.026336,9.979033,1
-0.043096,0.02873,9.979033,1
-0.047884,0.023942,9.986216,1
-0.043096,0.023942,9.983821,1
-0.038307,0.021548,9.986216,1
-0.04549,0.023942,9.969456,1
-0.038307,0.014365,9.988609,1
-0.052672,0.023942,9.991004,1
-0.033519,0.019154,9.988609,1
-0.038307,0.016759,9.991004,1
-0.055067,0.023942,9.986216,1
-0.04549,0.019154,9.993398,1
-0.050278,0.014365,9.981427,1
-0.050278,0.023942,9.986216,1
-0.050278,0.019154,9.986216,1
